H,13.59844
He,24.58738,54.41776
Li,5.39171,75.64009,122.45435
Be,9.32269,18.21115,153.8962,217.71858
B,8.29803,25.15484,37.93064,259.37521,340.2258
C,11.2603,24.38332,47.8878,64.4939,392.087,489.99334
N,14.53414,29.6013,47.44924,77.4735,97.8902,552.0718,667.046
O,13.61806,35.1173,54.9355,77.41353,113.899,138.1197,739.29,871.4101
F,17.42282,34.97082,62.7084,87.1398,114.2428,157.1651,185.186,953.9112,1103.1176
Ne,21.5646,40.96328,63.45,97.12,126.21,157.93,207.2759,239.0989,1195.8286,1362.1995
Na,5.13908,47.2864,71.62,98.91,138.4,172.18,208.5,264.25,299.864,1465.121,1648.702
Mg,7.64624,15.03528,80.1437,109.2655,141.27,186.76,225.02,265.96,328.06,367.5,1761.805,1962.665
Al,5.98577,18.82856,28.44765,119.992,153.825,190.49,241.76,284.66,330.13,398.75,442.0,2085.98,2304.141
Si,8.15169,16.34585,33.49302,45.14181,166.767,205.27,246.5,303.54,351.12,401.37,476.36,523.42,2437.63,2673.182
P,10.48669,19.7694,30.2027,51.4439,65.0251,220.421,263.57,309.6,372.13,424.4,479.46,560.8,611.74,2816.91,3069.842
S,10.36001,23.3379,34.79,47.222,72.5945,88.053,280.948,328.75,379.55,447.5,504.8,564.44,652.2,707.01,3223.78,3494.1892
Cl,12.96764,23.814,39.61,53.4652,67.8,97.03,114.1958,348.28,400.06,455.63,529.28,591.99,656.71,749.76,809.4,3658.521,3946.296
Ar,15.75962,27.62967,40.74,59.81,75.02,91.009,124.323,143.46,422.45,478.69,538.96,618.26,686.1,755.74,854.77,918.03,4120.8857,4426.2296
K,4.34066,31.63,45.806,60.91,82.66,99.4,117.56,154.88,175.8174,503.8,564.7,629.4,714.6,786.6,861.1,968.0,1033.4,4610.8,4934.046
Ca,6.11316,11.87172,50.9131,67.27,84.5,108.78,127.2,147.24,188.54,211.275,591.9,657.2,726.6,817.6,894.5,974.0,1087.0,1157.8,5128.8,5469.864
Sc,6.5615,12.79967,24.75666,73.4894,91.65,110.68,138.0,158.1,180.03,225.18,249.798,687.36,756.7,830.8,927.5,1009.0,1094.0,1213.0,1287.97,5674.8,6033.712
Ti,6.8281,13.5755,27.4917,43.2672,99.3,119.53,140.8,170.4,192.1,215.92,265.07,291.5,787.84,863.1,941.9,1044.0,1131.0,1221.0,1346.0,1425.4,6249.0,6625.82
V,6.7462,14.66,29.311,46.709,65.2817,128.13,150.6,173.4,205.8,230.5,255.7,308.1,336.277,896.0,976.0,1060.0,1168.0,1260.0,1355.0,1486.0,1569.6,6851.3,7246.12
Cr,6.7665,16.4857,30.96,49.16,69.46,90.6349,160.18,184.7,209.3,244.4,270.8,298.0,354.8,384.168,1010.6,1097.0,1185.0,1299.0,1396.0,1496.0,1634.0,1721.4,7481.7,7894.81
Mn,7.43402,15.63999,33.668,51.2,72.4,95.6,119.203,194.5,221.8,248.3,286.0,314.4,343.6,403.0,435.163,1134.7,1224.0,1317.0,1437.0,1539.0,1644.0,1788.0,1879.9,8140.6,8571.94
Fe,7.9024,16.1878,30.652,54.8,75.0,99.1,124.98,151.06,233.6,262.1,290.2,330.8,361.0,392.2,457.0,489.256,1266.0,1358.0,1456.0,1582.0,1689.0,1799.0,1950.0,2023.0,8828.0,9277.69
Co,7.881,17.083,33.5,51.3,79.5,102.0,128.9,157.8,186.13,275.4,305.0,336.0,379.0,411.0,444.0,511.96,546.58,1397.2,1504.6,1603.0,1735.0,1846.0,1962.0,2119.0,2219.0,9544.1,10012.12
Ni,7.6398,18.16884,35.19,54.9,76.06,108.0,133.0,162.0,193.0,224.6,321.0,352.0,384.0,430.0,464.0,499.0,571.08,607.06,1541.0,1648.0,1756.0,1894.0,2011.0,2131.0,2295.0,2399.2,10288.8,10775.4
Cu,7.72638,20.2924,36.841,57.38,79.8,103.0,139.0,166.0,199.0,232.0,265.3,369.0,401.0,435.0,484.0,520.0,557.0,633.0,670.588,1697.0,1804.0,1916.0,2060.0,2182.0,2308.0,2478.0,2587.5,11062.38,11567.617
Zn,9.3942,17.9644,39.723,59.4,82.6,108.0,134.0,174.0,203.0,238.0,274.0,310.8,419.7,454.0,490.0,542.0,579.0,619.0,698.0,738.0,1856.0
Ga,5.9993,20.5142,30.71,64.0
Ge,7.8994,15.93462,34.2241,45.7131,93.5
As,9.7886,18.633,28.351,50.13,62.63,127.6
Se,9.75238,21.19,30.8204,42.945,68.3,81.7,155.4
Br,11.81381,21.8,36.0,47.3,59.7,88.6,103.0,192.8
Kr,13.99961,24.35985,36.95,52.5,64.7,78.5,111.0,125.802,230.85,268.2,308.0,350.0,391.0,447.0,492.0,541.0,592.0,641.0,786.0,833.0,884.0,937.0,998.0,1051.0,1151.0,1205.3,2928.0,3070.0,3227.0,3381.0
Rb,4.17713,27.285,40.0,52.6,71.0,84.4,99.2,136.0,150.0,277.1
Sr,5.6949,11.03013,42.89,57.0,71.6,90.8,106.0,122.3,162.0,177.0,324.1
Y,6.2171,12.24,20.52,60.597,77.0,93.0,116.0,129.0,146.2,191.0,206.0,374.0
Zr,6.6339,13.13,22.99,34.34,80.348
Nb,6.75885,14.32,25.04,38.3,50.55,102.057,125.0
Mo,7.09243,16.16,27.13,46.4,54.49,68.8276,125.664,143.6,164.12,186.4,209.3,230.28,279.1,302.6,544.0,570.0,636.0,702.0,767.0,833.0,902.0,968.0,1020.0,1082.0,1263.0,1323.0,1387.0,1449.0,1535.0,1601.0
Tc,7.28,15.26,29.54
Ru,7.3605,16.76,28.47
Rh,7.4589,18.08,31.06
Pd,8.3369,19.43,32.93
Ag,7.5762,21.49,34.83
Cd,8.9938,16.90832,37.48
In,5.78636,18.8698,28.03,54.0
Sn,7.3439,14.63225,30.5026,40.73502,72.28
Sb,8.6084,16.53051,25.3,44.2,56.0,108.0
Te,9.0096,18.6,27.96,37.41,58.75,70.7,137.0
I,10.45126,19.1313,33.0
Xe,12.1298,21.20979,32.123
Cs,3.8939,23.15745
Ba,5.2117,10.0039
La,5.5769,11.06,19.1773,49.95,61.6
Ce,5.5387,10.85,20.198,36.758,65.55,77.6
Pr,5.473,10.55,21.624,38.98,57.53
Nd,5.525,10.73,22.1,40.41
Pm,5.582,10.9,22.3,41.1
Sm,5.6436,11.07,23.4,41.4
Eu,5.6704,11.241,24.92,42.7
Gd,6.1501,12.09,20.63,44.0
Tb,5.8638,11.52,21.91,39.79
Dy,5.9389,11.67,22.8,41.47
Ho,6.0215,11.8,22.84,42.5
Er,6.1077,11.93,22.74,42.7
Tm,6.18431,12.05,23.68,42.7
Yb,6.25416,12.1761,25.05,43.56
Lu,5.4259,13.9,20.9594,45.25,66.8
Hf,6.82507,14.9,23.3,33.33
Ta,7.5496
W,7.864
Re,7.8335
Os,8.4382
Ir,8.967
Pt,8.9587,18.563,28.0
Au,9.2255,20.5,30.0
Hg,10.4375,18.756,34.2
Tl,6.1082,20.428,29.83
Pb,7.41666,15.0322,31.9373,42.32,68.8
Bi,7.2856,16.69,25.56,45.3,56.0,88.3
Po,8.417
At,9.317508753143224
Rn,10.7485
Fr,4.0727
Ra,5.2784,10.14716
Ac,5.17,12.1
Th,6.3067,11.5,20.0,28.8
Pa,5.89
U,6.19405
Np,6.2657
Pu,6.0262
Am,5.9738
Cm,5.9915
Bk,6.1979
Cf,6.2817
Es,6.42
Fm,6.5
Md,6.58
No,6.65
Lr,4.9
Rf,6.0
