,l,n,l^n,label,S,L,idx,multiS,multiL,multiLS,seniority,R5,R7,G2,variants,variant
330,3,7,f^7,2D7,1/2,2,7,2,5,10,7,,"(2, 2, 2)","(4, 0)",1,A
331,3,7,f^7,2F1,1/2,3,1,2,7,14,1,,"(1, 0, 0)","(1, 0)",1,A
332,3,7,f^7,2F2,1/2,3,2,2,7,14,3,,"(2, 1, 0)","(2, 1)",1,A
333,3,7,f^7,2F3,1/2,3,3,2,7,14,5,,"(2, 2, 1)","(1, 0)",1,A
334,3,7,f^7,2F4,1/2,3,4,2,7,14,5,,"(2, 2, 1)","(2, 1)",1,A
335,3,7,f^7,2F5,1/2,3,5,2,7,14,5,,"(2, 2, 1)","(3, 0)",1,A
336,3,7,f^7,2F6,1/2,3,6,2,7,14,5,,"(2, 2, 1)","(3, 1)",2,A
337,3,7,f^7,2F7,1/2,3,7,2,7,14,5,,"(2, 2, 1)","(3, 1)",2,B
338,3,7,f^7,2F8,1/2,3,8,2,7,14,7,,"(2, 2, 2)","(1, 0)",1,A
339,3,7,f^7,2F9,1/2,3,9,2,7,14,7,,"(2, 2, 2)","(3, 0)",1,A
340,3,7,f^7,2F10,1/2,3,10,2,7,14,7,,"(2, 2, 2)","(4, 0)",1,A
341,3,7,f^7,2G1,1/2,4,1,2,9,18,3,,"(2, 1, 0)","(2, 0)",1,A
342,3,7,f^7,2G2,1/2,4,2,2,9,18,3,,"(2, 1, 0)","(2, 1)",1,A
343,3,7,f^7,2G3,1/2,4,3,2,9,18,5,,"(2, 2, 1)","(2, 0)",1,A
344,3,7,f^7,2G4,1/2,4,4,2,9,18,5,,"(2, 2, 1)","(2, 1)",1,A
345,3,7,f^7,2G5,1/2,4,5,2,9,18,5,,"(2, 2, 1)","(3, 0)",1,A
346,3,7,f^7,2G6,1/2,4,6,2,9,18,5,,"(2, 2, 1)","(3, 1)",1,A
347,3,7,f^7,2G7,1/2,4,7,2,9,18,7,,"(2, 2, 2)","(2, 0)",1,A
348,3,7,f^7,2G8,1/2,4,8,2,9,18,7,,"(2, 2, 2)","(3, 0)",1,A
349,3,7,f^7,2G9,1/2,4,9,2,9,18,7,,"(2, 2, 2)","(4, 0)",2,A
350,3,7,f^7,2G10,1/2,4,10,2,9,18,7,,"(2, 2, 2)","(4, 0)",2,B
351,3,7,f^7,2H1,1/2,5,1,2,11,22,3,,"(2, 1, 0)","(1, 1)",1,A
352,3,7,f^7,2H2,1/2,5,2,2,11,22,3,,"(2, 1, 0)","(2, 1)",1,A
353,3,7,f^7,2H3,1/2,5,3,2,11,22,5,,"(2, 2, 1)","(1, 1)",1,A
354,3,7,f^7,2H4,1/2,5,4,2,11,22,5,,"(2, 2, 1)","(2, 1)",1,A
355,3,7,f^7,2H5,1/2,5,5,2,11,22,5,,"(2, 2, 1)","(3, 0)",1,A
356,3,7,f^7,2H6,1/2,5,6,2,11,22,5,,"(2, 2, 1)","(3, 1)",2,A
357,3,7,f^7,2H7,1/2,5,7,2,11,22,5,,"(2, 2, 1)","(3, 1)",2,B
358,3,7,f^7,2H8,1/2,5,8,2,11,22,7,,"(2, 2, 2)","(3, 0)",1,A
359,3,7,f^7,2H9,1/2,5,9,2,11,22,7,,"(2, 2, 2)","(4, 0)",1,A
360,3,7,f^7,2I1,1/2,6,1,2,13,26,3,,"(2, 1, 0)","(2, 0)",1,A
361,3,7,f^7,2I2,1/2,6,2,2,13,26,5,,"(2, 2, 1)","(2, 0)",1,A
362,3,7,f^7,2I3,1/2,6,3,2,13,26,5,,"(2, 2, 1)","(3, 0)",1,A
363,3,7,f^7,2I4,1/2,6,4,2,13,26,5,,"(2, 2, 1)","(3, 1)",2,A
364,3,7,f^7,2I5,1/2,6,5,2,13,26,5,,"(2, 2, 1)","(3, 1)",2,B
365,3,7,f^7,2I6,1/2,6,6,2,13,26,7,,"(2, 2, 2)","(2, 0)",1,A
366,3,7,f^7,2I7,1/2,6,7,2,13,26,7,,"(2, 2, 2)","(3, 0)",1,A
367,3,7,f^7,2I8,1/2,6,8,2,13,26,7,,"(2, 2, 2)","(4, 0)",2,A
368,3,7,f^7,2I9,1/2,6,9,2,13,26,7,,"(2, 2, 2)","(4, 0)",2,B
369,3,7,f^7,2K1,1/2,7,1,2,15,30,3,,"(2, 1, 0)","(2, 1)",1,A
370,3,7,f^7,2K2,1/2,7,2,2,15,30,5,,"(2, 2, 1)","(2, 1)",1,A
371,3,7,f^7,2K3,1/2,7,3,2,15,30,5,,"(2, 2, 1)","(3, 0)",1,A
372,3,7,f^7,2K4,1/2,7,4,2,15,30,5,,"(2, 2, 1)","(3, 1)",2,A
373,3,7,f^7,2K5,1/2,7,5,2,15,30,5,,"(2, 2, 1)","(3, 1)",2,B
374,3,7,f^7,2K6,1/2,7,6,2,15,30,7,,"(2, 2, 2)","(3, 0)",1,A
375,3,7,f^7,2K7,1/2,7,7,2,15,30,7,,"(2, 2, 2)","(4, 0)",1,A
376,3,7,f^7,2L1,1/2,8,1,2,17,34,3,,"(2, 1, 0)","(2, 1)",1,A
377,3,7,f^7,2L2,1/2,8,2,2,17,34,5,,"(2, 2, 1)","(2, 1)",1,A
378,3,7,f^7,2L3,1/2,8,3,2,17,34,5,,"(2, 2, 1)","(3, 1)",1,A
379,3,7,f^7,2L4,1/2,8,4,2,17,34,7,,"(2, 2, 2)","(4, 0)",2,A
380,3,7,f^7,2L5,1/2,8,5,2,17,34,7,,"(2, 2, 2)","(4, 0)",2,B
381,3,7,f^7,2M1,1/2,9,1,2,19,38,5,,"(2, 2, 1)","(3, 0)",1,A
382,3,7,f^7,2M2,1/2,9,2,2,19,38,5,,"(2, 2, 1)","(3, 1)",1,A
383,3,7,f^7,2M3,1/2,9,3,2,19,38,7,,"(2, 2, 2)","(3, 0)",1,A
384,3,7,f^7,2M4,1/2,9,4,2,19,38,7,,"(2, 2, 2)","(4, 0)",1,A
385,3,7,f^7,2N1,1/2,10,1,2,21,42,5,,"(2, 2, 1)","(3, 1)",1,A
386,3,7,f^7,2N2,1/2,10,2,2,21,42,7,,"(2, 2, 2)","(4, 0)",1,A
387,3,7,f^7,2O,1/2,11,1,2,23,46,5,,"(2, 2, 1)","(3, 1)",1,A
388,3,7,f^7,2Q,1/2,12,1,2,25,50,7,,"(2, 2, 2)","(4, 0)",1,A
389,3,7,f^7,4S1,3/2,0,1,4,1,4,3,,"(1, 1, 1)","(0, 0)",1,A
390,3,7,f^7,4S2,3/2,0,2,4,1,4,7,,"(2, 2, 0)","(2, 2)",1,A
391,3,7,f^7,4P1,3/2,1,1,4,3,12,5,,"(2, 1, 1)","(1, 1)",1,A
392,3,7,f^7,4P2,3/2,1,2,4,3,12,5,,"(2, 1, 1)","(3, 0)",1,A
393,3,7,f^7,4D1,3/2,2,1,4,5,20,3,,"(1, 1, 1)","(2, 0)",1,A
394,3,7,f^7,4D2,3/2,2,2,4,5,20,5,,"(2, 1, 1)","(2, 0)",1,A
395,3,7,f^7,4D3,3/2,2,3,4,5,20,5,,"(2, 1, 1)","(2, 1)",1,A
396,3,7,f^7,4D4,3/2,2,4,4,5,20,7,,"(2, 2, 0)","(2, 0)",1,A
397,3,7,f^7,4D5,3/2,2,5,4,5,20,7,,"(2, 2, 0)","(2, 1)",1,A
398,3,7,f^7,4D6,3/2,2,6,4,5,20,7,,"(2, 2, 0)","(2, 2)",1,A
399,3,7,f^7,4F1,3/2,3,1,4,7,28,3,,"(1, 1, 1)","(1, 0)",1,A
400,3,7,f^7,4F2,3/2,3,2,4,7,28,5,,"(2, 1, 1)","(1, 0)",1,A
401,3,7,f^7,4F3,3/2,3,3,4,7,28,5,,"(2, 1, 1)","(2, 1)",1,A
402,3,7,f^7,4F4,3/2,3,4,4,7,28,5,,"(2, 1, 1)","(3, 0)",1,A
403,3,7,f^7,4F5,3/2,3,5,4,7,28,7,,"(2, 2, 0)","(2, 1)",1,A
404,3,7,f^7,4G1,3/2,4,1,4,9,36,3,,"(1, 1, 1)","(2, 0)",1,A
405,3,7,f^7,4G2,3/2,4,2,4,9,36,5,,"(2, 1, 1)","(2, 0)",1,A
406,3,7,f^7,4G3,3/2,4,3,4,9,36,5,,"(2, 1, 1)","(2, 1)",1,A
407,3,7,f^7,4G4,3/2,4,4,4,9,36,5,,"(2, 1, 1)","(3, 0)",1,A
408,3,7,f^7,4G5,3/2,4,5,4,9,36,7,,"(2, 2, 0)","(2, 0)",1,A
409,3,7,f^7,4G6,3/2,4,6,4,9,36,7,,"(2, 2, 0)","(2, 1)",1,A
410,3,7,f^7,4G7,3/2,4,7,4,9,36,7,,"(2, 2, 0)","(2, 2)",1,A
411,3,7,f^7,4H1,3/2,5,1,4,11,44,5,,"(2, 1, 1)","(1, 1)",1,A
412,3,7,f^7,4H2,3/2,5,2,4,11,44,5,,"(2, 1, 1)","(2, 1)",1,A
413,3,7,f^7,4H3,3/2,5,3,4,11,44,5,,"(2, 1, 1)","(3, 0)",1,A
414,3,7,f^7,4H4,3/2,5,4,4,11,44,7,,"(2, 2, 0)","(2, 1)",1,A
415,3,7,f^7,4H5,3/2,5,5,4,11,44,7,,"(2, 2, 0)","(2, 2)",1,A
416,3,7,f^7,4I1,3/2,6,1,4,13,52,3,,"(1, 1, 1)","(2, 0)",1,A
417,3,7,f^7,4I2,3/2,6,2,4,13,52,5,,"(2, 1, 1)","(2, 0)",1,A
418,3,7,f^7,4I3,3/2,6,3,4,13,52,5,,"(2, 1, 1)","(3, 0)",1,A
419,3,7,f^7,4I4,3/2,6,4,4,13,52,7,,"(2, 2, 0)","(2, 0)",1,A
420,3,7,f^7,4I5,3/2,6,5,4,13,52,7,,"(2, 2, 0)","(2, 2)",1,A
421,3,7,f^7,4K1,3/2,7,1,4,15,60,5,,"(2, 1, 1)","(2, 1)",1,A
422,3,7,f^7,4K2,3/2,7,2,4,15,60,5,,"(2, 1, 1)","(3, 0)",1,A
423,3,7,f^7,4K3,3/2,7,3,4,15,60,7,,"(2, 2, 0)","(2, 1)",1,A
424,3,7,f^7,4L1,3/2,8,1,4,17,68,5,,"(2, 1, 1)","(2, 1)",1,A
425,3,7,f^7,4L2,3/2,8,2,4,17,68,7,,"(2, 2, 0)","(2, 1)",1,A
426,3,7,f^7,4L3,3/2,8,3,4,17,68,7,,"(2, 2, 0)","(2, 2)",1,A
427,3,7,f^7,4M,3/2,9,1,4,19,76,5,,"(2, 1, 1)","(3, 0)",1,A
428,3,7,f^7,4N,3/2,10,1,4,21,84,7,,"(2, 2, 0)","(2, 2)",1,A
429,3,7,f^7,6P,5/2,1,1,6,3,18,5,,"(1, 1, 0)","(1, 1)",1,A
430,3,7,f^7,6D,5/2,2,1,6,5,30,7,,"(2, 0, 0)","(2, 0)",1,A
431,3,7,f^7,6F,5/2,3,1,6,7,42,5,,"(1, 1, 0)","(1, 0)",1,A
432,3,7,f^7,6G,5/2,4,1,6,9,54,7,,"(2, 0, 0)","(2, 0)",1,A
433,3,7,f^7,6H,5/2,5,1,6,11,66,5,,"(1, 1, 0)","(1, 1)",1,A
434,3,7,f^7,6I,5/2,6,1,6,13,78,7,,"(2, 0, 0)","(2, 0)",1,A
435,3,7,f^7,8S,7/2,0,1,8,1,8,7,,"(0, 0, 0)","(0, 0)",1,A
