l n daughter parent cfp_float
2 5 2F1 1F1 1.936491673103708510694787E-01
2 5 2F1 1G1 -3.779644730092272530974640E-01
2 5 2F1 1G2 3.133915852640043464560904E-01
2 5 2F2 3P2 3.585685828003181141454547E-01
2 5 2F2 3D1 4.629100498862757095963616E-01
2 5 2F2 3F2 -3.354101966249684596554914E-01
2 5 2F2 3G1 -5.669467095138408518906203E-02
2 5 2F2 3H1 -3.760699023168052601562295E-01
2 5 2F2 1D2 -1.889822365046136265487320E-01
2 5 2F2 1F1 -4.330127018922192982941510E-01
2 5 2F2 1G2 4.204589329360410854263819E-01
2 5 2G1 3D1 2.672612419124243965384835E-01
2 5 2G1 3F1 4.472135954999579277036048E-01
2 5 2G1 3F2 3.354101966249684596554914E-01
2 5 2G1 3G1 3.256860890050856660593581E-01
2 5 2G1 3H1 3.316624790355399698960071E-01
2 5 2G1 1D1 -3.086066999241838249012915E-01
2 5 2G1 1D2 -1.091089451179961949955910E-01
2 5 2G1 1F1 -2.886751345948128724683279E-02
2 5 2G1 1G1 3.236694374850748179284210E-01
2 5 2G1 1G2 3.171675237082732801141560E-01
2 5 2G1 1I1 -2.943920288775949134496557E-01
2 5 2G2 3D1 2.288688541085317218470863E-01
2 5 2G2 3F2 4.787135538781690513587819E-01
2 5 2G2 3G1 -5.493502655735358342070640E-01
2 5 2G2 3H1 -1.290994448735805488759354E-01
2 5 2G2 1D2 2.803059552906940754546383E-01
2 5 2G2 1F1 -3.708099243547831602718645E-01
2 5 2G2 1G2 -2.564112970341853592337600E-01
2 5 2G2 1I1 -3.437758254761643095243073E-01
2 5 2H1 3F1 -4.472135954999579277036048E-01
2 5 2H1 3F2 2.236067977499789638518024E-01
2 5 2H1 3G1 -2.999999999999999888977698E-01
2 5 2H1 3H1 5.099019513592785157740650E-01
2 5 2H1 1F1 1.732050807568877304198907E-01
2 5 2H1 1G1 4.472135954999579277036048E-01
2 5 2H1 1G2 -6.741998624632421222013789E-02
2 5 2H1 1I1 4.067610422035835004983539E-01
2 5 2I1 3G1 4.242640687119285103356958E-01
2 5 2I1 3H1 6.480740698407859712304457E-01
2 5 2I1 1G2 -2.860387767736776720717273E-01
2 5 2I1 1I1 -5.640760748177662264879473E-01
3 2 3P1 2F1 1.000000000000000000000000E+00
3 2 3F1 2F1 1.000000000000000000000000E+00
3 2 3H1 2F1 1.000000000000000000000000E+00
3 2 1S1 2F1 1.000000000000000000000000E+00
3 2 1D1 2F1 1.000000000000000000000000E+00
3 2 1G1 2F1 1.000000000000000000000000E+00
3 2 1I1 2F1 1.000000000000000000000000E+00
3 3 4S1 3F1 1.000000000000000000000000E+00
3 3 4D1 3P1 -6.546536707079770867068191E-01
3 3 4D1 3F1 -4.714045207910316781507731E-01
3 3 4D1 3H1 -5.909368402852789303736358E-01
3 3 4F1 3P1 2.672612419124243965384835E-01
3 3 4F1 3F1 -8.164965809277260344600791E-01
3 3 4F1 3H1 5.117663157191589817784916E-01
3 3 4G1 3P1 5.117663157191589817784916E-01
3 3 4G1 3F1 -4.714045207910316781507731E-01
3 3 4G1 3H1 -7.182430061427789169670177E-01
3 3 4I1 3F1 -4.714045207910316781507731E-01
3 3 4I1 3H1 8.819171036881968683829314E-01
3 3 2P1 3F1 -7.071067811865475727373109E-01
3 3 2P1 1D1 4.879500364742666018713635E-01
3 3 2P1 1G1 -5.117663157191589817784916E-01
3 3 2D1 3P1 2.474358296526967537776187E-01
3 3 2D1 3F1 -6.236095644623235179082599E-01
3 3 2D1 3H1 2.233531314201633033444949E-01
3 3 2D1 1D1 -4.040610178208843272784634E-01
3 3 2D1 1G1 5.802884574739971546009087E-01
3 3 2D2 3P1 4.738035414793428379276463E-01
3 3 2D2 3H1 -5.248906591678238475751073E-01
3 3 2D2 1D1 5.802884574739971546009087E-01
3 3 2D2 1G1 4.040610178208843272784634E-01
3 3 2F1 3P1 -2.672612419124243965384835E-01
3 3 2F1 3F1 -4.082482904638630172300395E-01
3 3 2F1 3H1 -5.117663157191589817784916E-01
3 3 2F1 1S1 5.345224838248487930769670E-01
3 3 2F1 1D1 -1.992047682223989368832662E-01
3 3 2F1 1G1 -2.672612419124243965384835E-01
3 3 2F1 1I1 -3.212080372198105049363903E-01
3 3 2F2 3P1 6.267831705280086929121808E-01
3 3 2F2 3H1 -3.273268353539885433534096E-01
3 3 2F2 1D1 -4.671765921511567554169631E-01
3 3 2F2 1G1 -2.279211529192758933781704E-01
3 3 2F2 1I1 4.793724854411022806566223E-01
3 3 2G1 3P1 -1.934294858246657367040200E-01
3 3 2G1 3F1 -6.236095644623235179082599E-01
3 3 2G1 3H1 2.714703393093185757045660E-01
3 3 2G1 1D1 4.325214791567845162845174E-01
3 3 2G1 1G1 -3.405223533019972603774761E-01
3 3 2G1 1I1 4.438126822992972675407941E-01
3 3 2G2 3P1 -5.758755534498963823963891E-01
3 3 2G2 3H1 -4.103259033241449249551636E-01
3 3 2G2 1D1 8.584645893961878604372373E-02
3 3 2G2 1G1 5.947617141331807966153633E-01
3 3 2G2 1I1 3.726779962499649490048625E-01
3 3 2H1 3F1 -7.071067811865475727373109E-01
3 3 2H1 1D1 2.300218531141180744459263E-01
3 3 2H1 1G1 3.750901767477264892036715E-01
3 3 2H1 1I1 -5.535316670230406854713578E-01
3 3 2H2 3H1 -7.071067811865475727373109E-01
3 3 2H2 1D1 4.906533814626581335716082E-01
3 3 2H2 1G1 -4.923659639173309510162824E-01
3 3 2H2 1I1 -1.297498240269205072028313E-01
3 3 2I1 3F1 -6.236095644623235179082599E-01
3 3 2I1 3H1 -3.333333333333333148296163E-01
3 3 2I1 1G1 3.692744729379981993844240E-01
3 3 2I1 1I1 6.030226891555272583644864E-01
3 3 2K1 3H1 -7.071067811865475727373109E-01
3 3 2K1 1G1 4.923659639173309510162824E-01
3 3 2K1 1I1 -5.075192189225523620166314E-01
3 3 2L1 3H1 -7.071067811865475727373109E-01
3 3 2L1 1I1 7.071067811865475727373109E-01
3 4 5S1 4F1 -1.000000000000000000000000E+00
3 4 5D1 4D1 -5.345224838248487930769670E-01
3 4 5D1 4F1 -3.535533905932737863686555E-01
3 4 5D1 4G1 7.676494735787384726677374E-01
3 4 5F1 4S1 3.779644730092272530974640E-01
3 4 5F1 4D1 2.988071523335983914471115E-01
3 4 5F1 4F1 6.123724356957944703339081E-01
3 4 5F1 4G1 4.008918628686365948077253E-01
3 4 5F1 4I1 4.818120558297157574045855E-01
3 4 5G1 4D1 5.721721352713293740066547E-01
3 4 5G1 4F1 -3.535533905932737863686555E-01
3 4 5G1 4G1 -4.504687313477794829985612E-01
3 4 5G1 4I1 5.871089930302292314578949E-01
3 4 5I1 4F1 -3.535533905932737863686555E-01
3 4 5I1 4G1 4.885042104591972300653424E-01
3 4 5I1 4I1 7.977240352174655990680208E-01
3 4 3P1 4D1 -3.779644730092272530974640E-01
3 4 3P1 4F1 -1.825741858350553581402664E-01
3 4 3P1 4G1 3.964124835860459161729352E-01
3 4 3P1 2D1 -1.010152544552210818196158E-01
3 4 3P1 2D2 -1.934294858246657367040200E-01
3 4 3P1 2F1 6.454972243679027998908282E-01
3 4 3P1 2F2 3.027650354097491947058529E-01
3 4 3P1 2G1 1.059456926727951886491041E-01
3 4 3P1 2G2 3.154200309402802604452631E-01
3 4 3P2 4D1 1.259881576697424176991547E-01
3 4 3P2 4F1 -5.477225575051660744207993E-01
3 4 3P2 4G1 -1.321374945286819813095036E-01
3 4 3P2 2D1 5.387480237611790290230829E-01
3 4 3P2 2D2 -9.671474291233286835201000E-02
3 4 3P2 2F2 1.513825177048745973529265E-01
3 4 3P2 2G1 -5.650436942549076357877880E-01
3 4 3P2 2G2 1.577100154701401302226316E-01
3 4 3P3 4D1 -4.178554470186724989488880E-01
3 4 3P3 4G1 -3.984095364447978737665323E-01
3 4 3P3 2D1 2.233531314201633033444949E-01
3 4 3P3 2D2 4.957300669918336399888403E-01
3 4 3P3 2F2 -2.282177322938192254309087E-01
3 4 3P3 2G1 2.129588549999799629297570E-01
3 4 3P3 2G2 5.230649469956003549953039E-01
3 4 3D1 4D1 1.166423687039608581006433E-01
3 4 3D1 4F1 -5.400617248673217352106235E-01
3 4 3D1 4G1 -1.675148485651224983250529E-01
3 4 3D1 2P1 -3.499271061118826020575057E-01
3 4 3D1 2D1 -2.493918745554198623803899E-01
3 4 3D1 2D2 -2.686213587977180350385709E-01
3 4 3D1 2F2 -2.558831578595794908892458E-01
3 4 3D1 2G1 3.581618117302907133847611E-01
3 4 3D1 2G2 -5.331571623515563712603083E-02
3 4 3D1 2H1 -3.158690276528952067813805E-01
3 4 3D1 2H2 3.368858315395046321150119E-01
3 4 3D2 4D1 -4.738035414793428379276463E-01
3 4 3D2 4G1 -3.299144395369290050368249E-01
3 4 3D2 2P1 -2.369017707396714189638232E-01
3 4 3D2 2D1 -3.165733072956851135160150E-01
3 4 3D2 2D2 1.653250178165270589669689E-01
3 4 3D2 2F2 3.779644730092272530974640E-01
3 4 3D2 2G1 -2.204333570887027360374333E-01
3 4 3D2 2G2 -2.887592841767182560985816E-01
3 4 3D2 2H1 2.624453295839119237875536E-01
3 4 3D2 2H2 3.732100136460894668211097E-01
3 4 3F1 4S1 1.690308509457033037115536E-01
3 4 3F1 4D1 -1.781741612749495884404638E-01
3 4 3F1 4F1 3.651483716701107162805329E-01
3 4 3F1 4G1 -2.390457218668787242599194E-01
3 4 3F1 4I1 -2.872972024571115445823466E-01
3 4 3F1 2P1 -1.463850109422799861125242E-01
3 4 3F1 2D1 1.666666666666666574148081E-01
3 4 3F1 2F1 6.454972243679027998908282E-01
3 4 3F1 2G1 2.236067977499789638518024E-01
3 4 3F1 2H1 -2.803059552906940754546383E-01
3 4 3F1 2I1 2.687419249432849710501614E-01
3 4 3F2 4S1 -5.070925528371099666458122E-01
3 4 3F2 4D1 1.484784677291246628161314E-02
3 4 3F2 4F1 2.738612787525830372103997E-01
3 4 3F2 4G1 1.992047682223989368832662E-02
3 4 3F2 4I1 2.394143353809262755871323E-02
3 4 3F2 2P1 -2.927700218845599722250483E-01
3 4 3F2 2D1 -2.222222222222222098864108E-01
3 4 3F2 2G1 -2.981423969999719703061203E-01
3 4 3F2 2H1 -5.606119105813881509092766E-01
3 4 3F2 2I1 -3.583225665910466650743160E-01
3 4 3F3 4D1 3.814480901808862123303356E-01
3 4 3F3 4G1 1.860968420796941802386470E-01
3 4 3F3 4I1 -3.914059953534861358015462E-01
3 4 3F3 2P1 -3.133915852640043464560904E-01
3 4 3F3 2D1 2.548657257671652631714210E-01
3 4 3F3 2D2 -3.194382824999699721502111E-01
3 4 3F3 2F2 3.535533905932737863686555E-01
3 4 3F3 2G1 1.243411828254984557995400E-01
3 4 3F3 2G2 -4.072055089639778358012734E-01
3 4 3F3 2H1 1.636634176769942716767048E-01
3 4 3F3 2H2 0.000000000000000000000000E+00
3 4 3F3 2I1 -2.615191310253532908092211E-01
3 4 3F4 4D1 -3.551088463682078311123291E-01
3 4 3F4 4G1 4.331168290313683888470564E-01
3 4 3F4 4I1 -1.401458275304202916178298E-01
3 4 3F4 2D1 1.898136625889110806753024E-01
3 4 3F4 2D2 -4.460712855998855697059469E-01
3 4 3F4 2F2 0.000000000000000000000000E+00
3 4 3F4 2G1 -2.315106832401893910411417E-01
3 4 3F4 2G2 3.499271061118826020575057E-01
3 4 3F4 2H2 5.000000000000000000000000E-01
3 4 3F4 2I1 7.491109582924912468904211E-02
3 4 3G1 4D1 -1.248581962107323251043312E-01
3 4 3G1 4F1 -5.400617248673217352106235E-01
3 4 3G1 4G1 9.830033617199648854345639E-02
3 4 3G1 4I1 -1.281176857976345784262406E-01
3 4 3G1 2P1 2.735506022160966166367757E-01
3 4 3G1 2D1 2.669580526578038681684291E-01
3 4 3G1 2D2 -1.394142961355047394267359E-01
3 4 3G1 2F2 -9.304842103984709011932352E-02
3 4 3G1 2G1 -2.101749594058927583795082E-01
3 4 3G1 2G2 -2.753211747598375835899276E-01
3 4 3G1 2H1 -3.839170356332642919383602E-01
3 4 3G1 2H2 -2.519763153394848353983093E-01
3 4 3G1 2I1 2.739271345377727318037842E-01
3 4 3G1 2K1 2.942449431682498395268510E-01
3 4 3G2 4D1 -7.009334020895116590388341E-02
3 4 3G2 4G1 -4.856209060564556923011992E-01
3 4 3G2 4I1 -3.042903097250923005745449E-01
3 4 3G2 2P1 2.879377767249481911981945E-01
3 4 3G2 2D1 -4.683308288508589850573927E-02
3 4 3G2 2D2 -2.152284628511071384870945E-01
3 4 3G2 2F2 3.591215030713894584835089E-01
3 4 3G2 2G1 -3.244691161282128311071915E-01
3 4 3G2 2G2 3.759988317497306997694295E-01
3 4 3G2 2H1 2.051629516620724624775818E-01
3 4 3G2 2H2 -1.795395004850805498186617E-01
3 4 3G2 2I1 -2.033125151976110656093510E-01
3 4 3G2 2K1 2.096569673443836601123280E-01
3 4 3G3 4D1 -4.513354669242199967982287E-01
3 4 3G3 4G1 -1.421338109037402763767943E-01
3 4 3G3 4I1 3.307984422992487627546154E-01
3 4 3G3 2D1 2.412489548185819676628938E-01
3 4 3G3 2D2 3.149703941743560164923110E-01
3 4 3G3 2F2 4.204374825912608470979137E-01
3 4 3G3 2G1 7.597371763975863112605680E-02
3 4 3G3 2G2 -2.488066757640596537992650E-01
3 4 3G3 2H2 3.415650255319865880032637E-01
3 4 3G3 2I1 -1.768192050231853773567536E-01
3 4 3G3 2K1 3.418817293789138678228312E-01
3 4 3H1 4D1 -1.781741612749495884404638E-01
3 4 3H1 4F1 -1.825741858350553581402664E-01
3 4 3H1 4G1 -2.905436015739882305020103E-01
3 4 3H1 4I1 4.287637855957331378675690E-01
3 4 3H1 2D1 -4.761904761904761640423089E-02
3 4 3H1 2D2 1.119070645429486032806921E-01
3 4 3H1 2F1 6.454972243679027998908282E-01
3 4 3H1 2F2 -8.257228238447704427027674E-02
3 4 3H1 2G1 -7.765104378637271986818291E-02
3 4 3H1 2G2 1.173691194653927322155695E-01
3 4 3H1 2H2 -2.236067977499789638518024E-01
3 4 3H1 2I1 1.145919418253881078006984E-01
3 4 3H1 2K1 -2.611164839335467502401400E-01
3 4 3H1 2L1 2.779797245712846698317833E-01
3 4 3H2 4D1 5.939138709164986512645257E-02
3 4 3H2 4F1 -5.477225575051660744207993E-01
3 4 3H2 4G1 9.684786719132941479326604E-02
3 4 3H2 4I1 -1.429212618652443977929067E-01
3 4 3H2 2D1 2.539682539682539541558981E-01
3 4 3H2 2D2 5.595353227147430164034603E-02
3 4 3H2 2F2 -4.128614119223852213513837E-02
3 4 3H2 2G1 4.141389001939878022895414E-01
3 4 3H2 2G2 5.868455973269636610778477E-02
3 4 3H2 2H2 -1.118033988749894819259012E-01
3 4 3H2 2I1 -6.111570230687365379296239E-01
3 4 3H2 2K1 -1.305582419667733751200700E-01
3 4 3H2 2L1 1.389898622856423349158916E-01
3 4 3H3 4D1 -4.006168083848877237151953E-01
3 4 3H3 4G1 4.020151261036848389096576E-01
3 4 3H3 4I1 1.059402876939547072376868E-01
3 4 3H3 2D1 -2.676733643498420689432749E-01
3 4 3H3 2D2 -2.516181398700982341232191E-01
3 4 3H3 2F2 0.000000000000000000000000E+00
3 4 3H3 2G1 2.686076546751267613011294E-01
3 4 3H3 2G2 1.623995885882300316271909E-01
3 4 3H3 2H1 3.535533905932737863686555E-01
3 4 3H3 2H2 -2.817722562560132648634692E-01
3 4 3H3 2I1 7.078433214411465612680985E-02
3 4 3H3 2K1 4.258153136263200799760398E-01
3 4 3H3 2L1 2.060522808841058484130571E-01
3 4 3H4 4D1 -3.708990935094578778041807E-01
3 4 3H4 4G1 -2.791452631195412426023950E-01
3 4 3H4 4I1 -3.432857670296248220331847E-01
3 4 3H4 2D1 1.982539047110602470347374E-01
3 4 3H4 2D2 -1.941276094659317719148817E-01
3 4 3H4 2F2 -4.297197818452053730275964E-01
3 4 3H4 2G1 1.492094193905981469594479E-01
3 4 3H4 2G2 5.951465131011984127651360E-02
3 4 3H4 2H2 4.833775399766171987359087E-01
3 4 3H4 2I1 1.834939608543934286277732E-01
3 4 3H4 2K1 2.090605025017727019998048E-02
3 4 3H4 2L1 3.338428506813482243842373E-01
3 4 3I1 4F1 -5.400617248673217352106235E-01
3 4 3I1 4G1 -1.066003581778052211603836E-01
3 4 3I1 4I1 -1.740776559556978519971437E-01
3 4 3I1 2F2 1.628347368197324007699223E-01
3 4 3I1 2G1 2.279211529192758933781704E-01
3 4 3I1 2G2 -1.435423129408036346799094E-01
3 4 3I1 2H1 4.714045207910316781507731E-01
3 4 3I1 2H2 -5.524946201098299147780324E-02
3 4 3I1 2I1 3.721936841593883604772941E-01
3 4 3I1 2K1 -2.523614742513478059748877E-01
3 4 3I1 2L1 -3.743125567088153582417931E-01
3 4 3I2 4G1 -4.923659639173309510162824E-01
3 4 3I2 4I1 3.015113445777636291822432E-01
3 4 3I2 2F2 2.820380374088831132439736E-01
3 4 3I2 2G1 2.631806779839075960403250E-01
3 4 3I2 2G2 4.143709650823724222057365E-01
3 4 3I2 2H2 2.870846258816072693598187E-01
3 4 3I2 2I1 -1.611645928050760567806776E-01
3 4 3I2 2K1 3.642524127302662062533045E-01
3 4 3I2 2L1 -3.241641830653373967940922E-01
3 4 3K1 4G1 -4.020151261036848389096576E-01
3 4 3K1 4I1 4.143877070053740285793253E-01
3 4 3K1 2G1 -2.686076546751267613011294E-01
3 4 3K1 2G2 -1.623995885882300316271909E-01
3 4 3K1 2H1 3.535533905932737863686555E-01
3 4 3K1 2H2 3.646464492724877382023863E-01
3 4 3K1 2I1 2.768744330187452584723928E-01
3 4 3K1 2K1 -1.080547276884458035572933E-01
3 4 3K1 2L1 4.709996383657415464085716E-01
3 4 3K2 4G1 -4.143877070053740285793253E-01
3 4 3K2 4I1 -4.020151261036848389096576E-01
3 4 3K2 2G1 2.214995464149962234312596E-01
3 4 3K2 2G2 -3.347953286530624406047707E-01
3 4 3K2 2H2 -2.733592411557998480553522E-01
3 4 3K2 2I1 2.148861237401014090409035E-01
3 4 3K2 2K1 5.765566601970550930644777E-01
3 4 3K2 2L1 2.284683833658438523173118E-01
3 4 3L1 4I1 -5.773502691896257310588680E-01
3 4 3L1 2H1 3.535533905932737863686555E-01
3 4 3L1 2H2 -1.657483860329489744334097E-01
3 4 3L1 2I1 -3.857583749052297950044021E-01
3 4 3L1 2K1 -4.424271219554224421344202E-01
