E,"{1, 0, 0}","{0, 1, 0}","{0, 0, 1}"
"Subscript[""C"", ""3a""]","{0, 0, 1}","{1, 0, 0}","{0, 1, 0}"
"Subscript[""C"", ""3b""]","{0, 0, -1}","{1, 0, 0}","{0, -1, 0}"
"Subscript[""C"", ""3c""]","{0, 0, 1}","{-1, 0, 0}","{0, -1, 0}"
"Subscript[""C"", ""3d""]","{0, 0, -1}","{-1, 0, 0}","{0, 1, 0}"
"Subsuperscript[""C"", ""3a"", ""2""]","{0, 1, 0}","{0, 0, 1}","{1, 0, 0}"
"Subsuperscript[""C"", ""3b"", ""2""]","{0, 1, 0}","{0, 0, -1}","{-1, 0, 0}"
"Subsuperscript[""C"", ""3c"", ""2""]","{0, -1, 0}","{0, 0, -1}","{1, 0, 0}"
"Subsuperscript[""C"", ""3d"", ""2""]","{0, -1, 0}","{0, 0, 1}","{-1, 0, 0}"
"Subsuperscript[""C"", ""2"", ""x""]","{1, 0, 0}","{0, -1, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2"", ""y""]","{-1, 0, 0}","{0, 1, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2"", ""z""]","{-1, 0, 0}","{0, -1, 0}","{0, 0, 1}"
"Subsuperscript[""C"", ""2"", ""x+y""]","{0, 1, 0}","{1, 0, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2"", ""x-y""]","{0, -1, 0}","{-1, 0, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2"", ""x+z""]","{0, 0, 1}","{0, -1, 0}","{1, 0, 0}"
"Subsuperscript[""C"", ""2"", ""x-z""]","{0, 0, -1}","{0, -1, 0}","{-1, 0, 0}"
"Subsuperscript[""C"", ""2"", ""y+z""]","{-1, 0, 0}","{0, 0, 1}","{0, 1, 0}"
"Subsuperscript[""C"", ""2"", ""y-z""]","{-1, 0, 0}","{0, 0, -1}","{0, -1, 0}"
"Subsuperscript[""C"", ""4"", ""x""]","{1, 0, 0}","{0, 0, -1}","{0, 1, 0}"
"Subsuperscript[""C"", ""4"", ""y""]","{0, 0, 1}","{0, 1, 0}","{-1, 0, 0}"
"Subsuperscript[""C"", ""4"", ""z""]","{0, -1, 0}","{1, 0, 0}","{0, 0, 1}"
"Subsuperscript[""C"", ""4"", ""x3""]","{1, 0, 0}","{0, 0, 1}","{0, -1, 0}"
"Subsuperscript[""C"", ""4"", ""y3""]","{0, 0, -1}","{0, 1, 0}","{1, 0, 0}"
"Subsuperscript[""C"", ""4"", ""z3""]","{0, 1, 0}","{-1, 0, 0}","{0, 0, 1}"
