E,"{1, 0, 0}","{0, 1, 0}","{0, 0, 1}"
"Subscript[""C"", ""4""]","{0, -1, 0}","{1, 0, 0}","{0, 0, 1}"
"Subsuperscript[""C"", ""4"", ""3""]","{0, 1, 0}","{-1, 0, 0}","{0, 0, 1}"
"Subscript[""C"", ""2""]","{-1, 0, 0}","{0, -1, 0}","{0, 0, 1}"
"Subsuperscript[""σ"", ""v"", ""y""]","{1, 0, 0}","{0, -1, 0}","{0, 0, 1}"
"Subsuperscript[""σ"", ""v"", ""x""]","{-1, 0, 0}","{0, 1, 0}","{0, 0, 1}"
"Subscript[""σ"", ""da""]","{0, 1, 0}","{1, 0, 0}","{0, 0, 1}"
"Subscript[""σ"", ""db""]","{0, -1, 0}","{-1, 0, 0}","{0, 0, 1}"
