E,"{1, 0, 0}","{0, 1, 0}","{0, 0, 1}"
"Subscript[""S"", ""4""]","{0, -1, 0}","{1, 0, 0}","{0, 0, -1}"
"Subsuperscript[""S"", ""4"", ""3""]","{0, 1, 0}","{-1, 0, 0}","{0, 0, -1}"
"Subscript[""C"", ""2""]","{-1, 0, 0}","{0, -1, 0}","{0, 0, 1}"
"Subsuperscript[""C"", ""2"", ""x""]","{1, 0, 0}","{0, -1, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2"", ""y""]","{-1, 0, 0}","{0, 1, 0}","{0, 0, -1}"
"Subscript[""σ"", ""da""]","{0, 1, 0}","{1, 0, 0}","{0, 0, 1}"
"Subscript[""σ"", ""db""]","{0, -1, 0}","{-1, 0, 0}","{0, 0, 1}"
