E,"{1, 0, 0}","{0, 1, 0}","{0, 0, 1}"
"Subscript[""C"", ""6""]","{1/2, -Sqrt[3]/2, 0}","{Sqrt[3]/2, 1/2, 0}","{0, 0, 1}"
"Subsuperscript[""C"", ""6"", ""5""]","{1/2, Sqrt[3]/2, 0}","{-Sqrt[3]/2, 1/2, 0}","{0, 0, 1}"
"Subscript[""C"", ""3""]","{-1/2, -Sqrt[3]/2, 0}","{Sqrt[3]/2, -1/2, 0}","{0, 0, 1}"
"Subsuperscript[""C"", ""3"", ""2""]","{-1/2, Sqrt[3]/2, 0}","{-Sqrt[3]/2, -1/2, 0}","{0, 0, 1}"
"Subscript[""C"", ""2""]","{-1, 0, 0}","{0, -1, 0}","{0, 0, 1}"
"Subsuperscript[""C"", ""2a"", ""'""]","{1, 0, 0}","{0, -1, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2b"", ""'""]","{-1/2, -Sqrt[3]/2, 0}","{-Sqrt[3]/2, 1/2, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2c"", ""'""]","{-1/2, Sqrt[3]/2, 0}","{Sqrt[3]/2, 1/2, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2a"", ""''""]","{-1, 0, 0}","{0, 1, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2b"", ""''""]","{1/2, Sqrt[3]/2, 0}","{Sqrt[3]/2, -1/2, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2c"", ""''""]","{1/2, -Sqrt[3]/2, 0}","{-Sqrt[3]/2, -1/2, 0}","{0, 0, -1}"
inv,"{-1, 0, 0}","{0, -1, 0}","{0, 0, -1}"
"Subscript[""S"", ""3""]","{-1/2, -Sqrt[3]/2, 0}","{Sqrt[3]/2, -1/2, 0}","{0, 0, -1}"
"Subsuperscript[""S"", ""3"", ""5""]","{-1/2, Sqrt[3]/2, 0}","{-Sqrt[3]/2, -1/2, 0}","{0, 0, -1}"
"Subscript[""S"", ""6""]","{1/2, -Sqrt[3]/2, 0}","{Sqrt[3]/2, 1/2, 0}","{0, 0, -1}"
"Subsuperscript[""S"", ""6"", ""5""]","{1/2, Sqrt[3]/2, 0}","{-Sqrt[3]/2, 1/2, 0}","{0, 0, -1}"
"Subscript[""σ"", ""h""]","{1, 0, 0}","{0, 1, 0}","{0, 0, -1}"
"Subsuperscript[""σ"", ""da"", ""'""]","{-1, 0, 0}","{0, 1, 0}","{0, 0, 1}"
"Subsuperscript[""σ"", ""db"", ""'""]","{1/2, Sqrt[3]/2, 0}","{Sqrt[3]/2, -1/2, 0}","{0, 0, 1}"
"Subsuperscript[""σ"", ""dc"", ""'""]","{1/2, -Sqrt[3]/2, 0}","{-Sqrt[3]/2, -1/2, 0}","{0, 0, 1}"
"Subscript[""σ"", ""va""]","{1, 0, 0}","{0, -1, 0}","{0, 0, 1}"
"Subscript[""σ"", ""vb""]","{-1/2, -Sqrt[3]/2, 0}","{-Sqrt[3]/2, 1/2, 0}","{0, 0, 1}"
"Subscript[""σ"", ""vc""]","{-1/2, Sqrt[3]/2, 0}","{Sqrt[3]/2, 1/2, 0}","{0, 0, 1}"
